sample_id,split,source_corpus,model_name,prompt_version,reference,prediction,wer,cer,lexical_similarity,label,repetition_flag,duration,gender,has_unintelligible_tag,inference_time_sec,semantic_similarity,label_semantic
203_0,train,kathbath,Whisper-large-v3-turbo,dedicated_asr,நாடகத்தின் வெற்றிக்கு நடிகர் திலகத்தின் இந்த ஆலோசனைகள் மிகவும் உபயோகமாக அமைந்தது எனலாம் என்கிறார் மகேந்திரன்,நாடகத்தின் விற்றிக்கு நடிகத்தினகத்தின் இந்த ஆலோசனைகள் மிகப்பும் உபயோகமாக அமைந்தது எனலாம் என்கிரார் மகேந்திரண்,0.5,0.0833333333333333,0.9309,FAITHFUL,False,8.010875,Female,False,17.618,0.82828987,FAITHFUL
203_1,train,kathbath,Whisper-large-v3-turbo,dedicated_asr,என்ன ஒரு மண்டலம் மாறுபாடு மற்றும் நீங்கள் எப்படி ஒரு பெற,என்ன ஒரு மண்டலம் ஆறுப்பாடு மட்டும் நீங்கள் எப்படி ஒரு பெர்?,0.3333333333333333,0.1607142857142857,0.887,FAITHFUL,False,3.366875,Female,False,0.448,0.55635536,FAITHFUL
1099_0,train,kathbath,Whisper-large-v3-turbo,dedicated_asr,எங்கள் பின்தங்கிய வாழ்க்கையில் எந்த இடமும் இல்லை என்று மிகவும் பிஸியாக,எங்கள் பின்தங்கே வாழ்க்கையில் எந்த இறமும் இல்லை என்று மிகோம் பிசியாக,0.4444444444444444,0.0857142857142857,0.9275,FAITHFUL,False,3.7151875,Female,False,0.483,0.7968817,FAITHFUL
347_0,train,kathbath,Whisper-large-v3-turbo,dedicated_asr,செயல்முறை தொடங்கும் முன் நீங்கள் அருகிலுள்ள தூதரகம் அல்லது தூதரகத்தில் இரட்டை தேவைகளை சரிபார்க்கவும்,செயல் முறை தொருங்கு முன் நீங்கள் அரிகிருள்ள தூதுரகம் அல்லது தூதுரகத்தில் இறட்டை தேவைகளை சரிப்பப்பவோம்,0.7272727272727273,0.16,0.8856,PARAPHRASE_OR_RECOGNITION_ERROR,False,4.8761875,Female,False,0.653,0.61073506,PARAPHRASE_OR_RECOGNITION_ERROR
1042_0,train,kathbath,Whisper-large-v3-turbo,dedicated_asr,இடைப்பாடி அருகே கோனேரிப்பட்டி நீர்மின் கதவணை பராமரிப்பால் மின் உற்பத்தி நிறுத்தம்,இடைப்பாடி அருக்கே கொணைரிப்பட்டி நீர்மின் கதவனை பராமரிப்பால் மின்னுடுப்பத்தி நிறுத்தம்,0.5555555555555556,0.1358024691358024,0.8916,PARAPHRASE_OR_RECOGNITION_ERROR,False,5.3638125,Female,False,0.595,0.761165,PARAPHRASE_OR_RECOGNITION_ERROR
1029_0,train,kathbath,Whisper-large-v3-turbo,dedicated_asr,காயலர்கள் உலகின் நாலாபாகங்களிலும் வாழக்கூடியதை பார்க்கும் பொழுது மன மகிழ்ச்சியாக உள்ளது,காயலர்கள் உளகின் நாளா பாகங்களிலும் வாழகுடியதை பார்க்கும் மொழுது மனமகிற்சியாக உள்ளது,0.7777777777777778,0.1264367816091954,0.9059,PARAPHRASE_OR_RECOGNITION_ERROR,False,6.664125,Female,False,0.585,0.7479038,PARAPHRASE_OR_RECOGNITION_ERROR
347_1,train,kathbath,Whisper-large-v3-turbo,dedicated_asr,இப்போது இந்த தீர்ப்பு எந்த வழிக்கில் கொடுக்கப்பட்டுள்ளது என்பதை விரிவாக பார்க்கலாம்,இப்போதி இந்தத் தீர்ப்பு எந்த வலக்கில் கொடுக்கப்பட்டுவல் என்பது விரிவாகப் பார்க்கலாம்,0.6666666666666666,0.1566265060240964,0.8982,PARAPHRASE_OR_RECOGNITION_ERROR,False,4.2725,Female,False,0.603,0.9077058,PARAPHRASE_OR_RECOGNITION_ERROR
1099_1,train,kathbath,Whisper-large-v3-turbo,dedicated_asr,இருப்பினும் ரஜினி கட்சி ஆரம்பித்த உடன் தான் இது குறித்த தகவல்கள் உறுதி செய்யப்படும் என்பது குறிப்பிடத்தக்கது,யிருப்பினம் ரஜனிக் கச்சி ஆரமிட்ட ஓடன் தான் இது குரித்து தவள்கள் ஒருதி செய்ப்படம் என்பது குரிப்பிடத்தக்கது,0.7692307692307693,0.1944444444444444,0.8451,PARAPHRASE_OR_RECOGNITION_ERROR,False,5.3870625,Female,False,0.693,0.23622707,HALLUCINATION_CANDIDATE
347_2,train,kathbath,Whisper-large-v3-turbo,dedicated_asr,புனித ஸ்தலங்களின் வாயிலில் அமர்ந்திருக்கும் பிச்சைக்காரர்களிடம் இரக்கம் காட்டாதவர்கள்தான் உள்ளே சென்று கடவுளிடம் இரக்கம் இல்லையா என்கின்றனர்,உன்னுது தலங்களில் அவாயிலில் அமர்ந்திருக்கும் பிச்சக்கார்களிடம் மிறக்கம் காட்டாவத்தான் வருகள்னான் உள்ளை செய்து கடவிலிடம் மிறக்கமில்லையை என்க்கின்றின்றார்,0.9230769230769232,0.2928571428571428,0.8014,PARAPHRASE_OR_RECOGNITION_ERROR,False,5.9443125,Female,False,0.92,0.49617803,HALLUCINATION_CANDIDATE
80_0,train,kathbath,Whisper-large-v3-turbo,dedicated_asr,மக்கள் தொகை வளர்ச்சி மற்றும் சூழ்நிலைக்கு இடையேயான செயலெதிர் பற்றிய ஆய்வு மற்றும் விவாதத்திற்கு ஒரு நீண்ட வரலாறு உள்ளது,மக்கல் தொகை வலர்ச்சி மற்றும் சூர் நிலக்கி இடையே செயல் திடர் பட்சி ஆயிவு மற்றும் விவகாரத் திருக்கு ஒரு நீட வரலாரு உள்ளது,0.8666666666666667,0.2100840336134453,0.8487,PARAPHRASE_OR_RECOGNITION_ERROR,False,8.7539375,Female,False,0.728,0.48504323,HALLUCINATION_CANDIDATE
